Unnamed: 0_x,Contact_ID,Source_Folder_x,Q1_Topic_Introduced_By,Q2_Price_Increase_Introduction,Q3_Renewal_Fee_Mentioned,Q4_Percentage_Price_Increase_Mentioned,Q5_Monetary_Price_Increase_Mentioned,Q6_Price_Range_Mentioned,Q7_Customer_Asked_For_Justification,Q10_Customer_Response,Q11_Desire_To_Cancel,Q12_Discount_Offered,Q14_Agent_Response_To_Cancel,Previous_Year_Price,Current_Year_Price,Unnamed: 0_y,Start_Date,Prospect Outcome,Prospect Status,Prospect Renewal Date,Renewal Month,Payment Method,Renewal Score at release,Proforma Membership Status,Anchor or Indie,Anchor Group,Proforma Approved Lists,Tenure (Years),Tenure Group,Band,Date Paid,Payment Timeframe,Payment Time Frame 2,Payment Time Frame 3,Total Net Paid,Starting Net,Auto Renewal - Proforma Release,Now on Auto Renewal,Process,Unnamed: 0,Source_Folder_y,Explicit_Competitor_Mention,Implied_Competitor_Mention,Explicit_Switching_Intent,Implied_Switching_Intent,Competitor_Names_Listed,Mentioned_Alcumus_Competitors
10,538175494992,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,95,03_09_2024,No,No,No,No,COMP_NO,No
11,538175563000,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,98,03_09_2024,No,No,No,No,COMP_NO,No
12,538175563015,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,99,03_09_2024,No,No,No,No,COMP_NO,No
13,565596670766,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,179,31_10_2024,No,No,No,No,COMP_NO,No
14,565596671499,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,7,31_10_2024,No,Yes,No,No,COMP_NO,No
15,565596671955,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,8,31_10_2024,No,No,No,No,COMP_NO,No
16,565596719324,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,185,31_10_2024,No,No,No,No,COMP_NO,No
17,565596748700,31_10_2024,Agent,"The agent mentioned a price drop from £599 to £499, offering a £100 discount to retain the customer's services.","Yes, £499",No,Yes,£599 to £499,No,Negative,Desired to Cancel,Yes,The agent offered a £100 discount and highlighted the benefits of remaining accredited with Safe Contractor.,£599,£499,3874.0,2024-10-31,Lost,Do Not Work for Client,2024-10-18,2024-10-01,,22.0,Member Only,Anchored,2,2.0,124.0,,Band B,,,,,,599.0,0.0,0.0,process,189,31_10_2024,Yes,Yes,No,Yes,COMP_AC,Yes
18,565596783075,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,10,31_10_2024,No,No,No,No,COMP_NO,No
19,565596791154,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Desired to Cancel,No,Not Discussed,Not Applicable,Not Applicable,3215.0,2024-10-31,Lost,Do Not Work for Client,2024-10-29,2024-10-01,,23.0,Member Only,Anchored,1,1.0,3.0,3,Band F1,,,,,,2009.0,0.0,0.0,process,11,31_10_2024,No,Yes,No,Yes,COMP_NO,Yes
20,565596820110,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,12,31_10_2024,No,No,No,No,COMP_NO,No
21,565596822138,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,3222.0,2024-10-31,Won,Renewed,2024-10-25,2024-10-01,BACS,24.0,Member Only,Anchored,1,1.0,8.0,4+,Band C1,2024-10-31 00:00:00.000,6.0,Within 13 Days After Renewal,Paid Late,799.0,919.0,0.0,0.0,process,13,31_10_2024,No,No,No,No,COMP_NO,No
22,565596858255,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Desired to Cancel,No,The agent offered to put a marker on the account to prevent immediate closure and agreed to call back the following week.,Not Applicable,Not Applicable,4704.0,2024-10-31,Lost,No Longer Trading,2024-10-01,2024-10-01,,22.5,Member Only,Independent,Independent,0.0,5.0,4+,Band A,,,,,,399.0,0.0,0.0,process,203,31_10_2024,No,No,No,No,COMP_NO,No
23,565596907828,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,14,31_10_2024,No,No,No,No,COMP_NO,No
24,565596917004,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Negative,Desired to Cancel,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,210,31_10_2024,No,Yes,No,Yes,COMP_NO,No
25,565596927090,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Desired to Cancel,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,15,31_10_2024,Yes,Yes,No,No,COMP_SA,Yes
26,565596927350,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,213,31_10_2024,No,No,No,No,COMP_NO,No
27,565596953177,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,216,31_10_2024,No,No,No,No,COMP_NO,No
28,565596960635,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,16,31_10_2024,No,No,No,No,COMP_NO,No
29,565596963120,31_10_2024,Agent,"The price increase was introduced as a result of the customer's account review, mentioning an overpayment from the previous year that would be applied to the current invoice.",No,No,No,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,17,31_10_2024,No,No,No,No,COMP_NO,No
30,565596970278,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,3242.0,2024-10-31,Lost,Refused to Discuss,2024-10-03,2024-10-01,,23.0,Member Only,Independent,Independent,0.0,7.0,4+,Band D,,,,,,1159.0,0.0,0.0,process,18,31_10_2024,No,No,No,No,COMP_NO,No
31,565596972690,31_10_2024,Agent,The agent mentioned the price increase when stating the total cost with VAT.,"Yes, £1138.80",No,Yes,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,3243.0,2024-10-31,Won,Renewed,2024-10-27,2024-10-01,CARD,24.5,Accredited,Anchored,1,1.0,1.0,1,Band C2,2024-10-31 15:05:20.777,4.0,Within 13 Days After Renewal,Paid Late,949.0,1099.0,1.0,1.0,process,19,31_10_2024,No,No,No,No,COMP_NO,No
32,565597045204,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,3258.0,2024-10-31,Won,Renewed,2024-10-27,2024-10-01,CARD,26.5,Accredited,Anchored,2,2.0,3.0,3,Band A,2024-09-18 16:30:00.000,-39.0,1-2 Months Prior to Renewal,Paid Early,399.0,399.0,0.0,0.0,process,20,31_10_2024,No,No,No,No,COMP_NO,No
33,565597045410,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,21,31_10_2024,No,No,No,No,COMP_NO,No
34,565597056636,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,234,31_10_2024,Yes,No,No,No,COMP_NO,Yes
35,565597071512,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,236,31_10_2024,No,No,No,No,COMP_NO,No
36,537988316847,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,23,02_09_2024,No,No,No,No,COMP_NO,No
37,537988377913,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,24,02_09_2024,No,No,No,No,COMP_NO,No
38,537988381802,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,25,02_09_2024,No,Yes,No,No,COMP_AC,Yes
39,537988396595,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,26,02_09_2024,No,No,No,No,COMP_NO,No
40,537988460450,02_09_2024,Customer,"The customer mentioned the price increase, stating it ""virtually doubles the cost I pay.""","Yes, £700",No,Yes,£700 to £450,Yes,Neutral,Renewed,Yes,Not Discussed,£700,£450,,,,,,,,,,,,,,,,,,,,,,,,,28,02_09_2024,No,Yes,No,No,COMP_NO,No
41,537988461906,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,29,02_09_2024,No,No,No,No,COMP_NO,No
42,537988465161,02_09_2024,Not Discussed,Not Discussed,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,30,02_09_2024,No,No,No,No,COMP_NO,No
43,537988470276,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Desired to Cancel,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,31,02_09_2024,No,No,No,No,COMP_NO,No
44,537988471312,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,32,02_09_2024,No,No,No,No,COMP_NO,No
45,537988473146,02_09_2024,Agent,The price increase was introduced as a renewal fee for the Safe Contractor membership.,"Yes, £ amount not specified",No,No,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,33,02_09_2024,No,No,No,No,COMP_NO,No
46,537988475534,02_09_2024,Agent,"The price increase was introduced as a failed automatic renewal payment, with the agent explaining the new renewal fee.","Yes, £3,838.80",No,Yes,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,34,02_09_2024,No,No,No,No,COMP_NO,No
47,537988481016,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,35,02_09_2024,No,No,No,No,COMP_NO,No
48,538174546808,02_09_2024,Agent,"The agent introduced the price increase by stating the previous renewal fee was £694.80 and offering a new renewal fee of £387, later reduced to £339 plus VAT.","Yes, £339",No,No,£694.80 to £339,No,Neutral,Renewed,Yes,Not Discussed,£694.80,£339,,,,,,,,,,,,,,,,,,,,,,,,,36,02_09_2024,No,Yes,No,Yes,COMP_NO,No
49,538174549647,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,37,02_09_2024,No,No,No,No,COMP_NO,No
50,538174555162,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,38,02_09_2024,No,No,No,No,COMP_NO,No
51,538174581204,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Desired to Cancel,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,40,02_09_2024,No,Yes,No,Yes,COMP_NO,No
52,538174610196,02_09_2024,Not Discussed,Not Discussed,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,41,02_09_2024,No,No,No,No,COMP_NO,No
53,538174691798,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,47,02_09_2024,No,No,No,No,COMP_NO,No
54,538174794574,02_09_2024,Agent,"The agent mentioned that the customer's automatic renewal had gone through, but it wasn't meant to, and there might be an option to get a refund, but this would lead to the customer being removed from the supply chain, which could have further consequences.","Yes, £700 or £800",No,Yes,Not Discussed,Yes,Negative,Desired to Cancel,No,The agent offered a free consultation with their audit department to help the customer gain accreditation and provided templates and assistance with documentation.,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,52,02_09_2024,No,Yes,No,Yes,COMP_NO,No
55,538174795707,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,53,02_09_2024,No,No,No,No,COMP_NO,No
56,538174809355,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,56,02_09_2024,No,No,No,No,COMP_NO,No
57,538174883066,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,61,02_09_2024,No,No,No,No,COMP_NO,No
58,538174910573,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,63,02_09_2024,No,No,No,No,COMP_NO,No
59,538174986678,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,66,02_09_2024,No,No,No,No,COMP_NO,No
60,538175290346,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,75,03_09_2024,No,No,No,No,COMP_NO,No
61,538175291105,03_09_2024,Agent,The agent mentioned the price increase when discussing the renewal payment.,"Yes, £820.80",No,Yes,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,76,03_09_2024,No,No,No,No,COMP_NO,No
62,538175291238,03_09_2024,Agent,"The price increase was introduced as a result of the customer's current package, which includes a faster response time and more support.","Yes, £459",No,Yes,£399 to £459,Yes,Neutral,Renewed,Yes,Not Discussed,£399,£459,,,,,,,,,,,,,,,,,,,,,,,,,77,03_09_2024,No,No,No,No,COMP_NO,No
63,538175292246,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,78,03_09_2024,No,No,No,No,COMP_NO,No
64,538175298248,03_09_2024,Not Discussed,Not Discussed,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,79,03_09_2024,No,No,No,No,COMP_NO,No
65,538175300373,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,80,03_09_2024,No,No,No,No,COMP_NO,No
66,538175436482,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,89,03_09_2024,No,No,No,No,COMP_NO,No
67,538175438937,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,90,03_09_2024,Yes,No,No,No,COMP_SA,Yes
68,538175441613,03_09_2024,Agent,The agent introduced the price increase by mentioning the renewal fee and offering a discount.,"Yes, £442",No,No,Not Discussed,No,Neutral,"Desired to Cancel (initially), but considering renewal after the agent's offer",Yes,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,92,03_09_2024,No,Yes,No,Yes,COMP_CO,Yes
69,538175566329,03_09_2024,Agent,The price increase was introduced as a renewal fee for the membership.,"Yes, 104.280",No,Yes,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,100,03_09_2024,No,No,No,No,COMP_NO,No
70,538175568061,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,101,03_09_2024,No,No,No,No,COMP_NO,No
71,538175569269,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Desired to Cancel,No,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,102,03_09_2024,No,Yes,No,No,COMP_NO,No
72,538175571494,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,103,03_09_2024,No,No,No,No,COMP_NO,No
73,538175572043,03_09_2024,Agent,The agent introduced the price increase by explaining the new renewal fee and comparing it to the previous year's fee.,"Yes, £486",No,No,£703 to £486,No,Neutral,"Desired to Cancel (initially), but later agreed to renew",Yes,The agent offered an additional discount and allowed the customer to pay with two cards if needed.,£703,£486,,,,,,,,,,,,,,,,,,,,,,,,,104,03_09_2024,No,No,No,No,COMP_NO,No
74,538175579378,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,105,03_09_2024,No,No,No,No,COMP_NO,No
75,538175581992,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,106,03_09_2024,No,No,No,No,COMP_NO,No
76,538175583314,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,107,03_09_2024,No,No,No,No,COMP_NO,No
77,538175761033,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,124,03_09_2024,No,No,No,No,COMP_NO,No
78,538175775488,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,125,03_09_2024,No,No,No,No,COMP_NO,No
79,538175808300,03_09_2024,Agent,"The agent introduced the price increase as part of the renewal process, stating the current renewal cost stands at £399 plus VAT.","Yes, £399",No,No,Not Discussed,No,Neutral,"Desired to Cancel (implied, as the customer mentioned he hadn't used the service in a year and his account wasn't active)",Yes,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,129,03_09_2024,No,Yes,No,Yes,COMP_NO,No
80,538175823802,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,130,03_09_2024,No,No,No,No,COMP_NO,No
81,538175833738,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,131,03_09_2024,No,No,No,No,COMP_NO,No
82,538175834913,03_09_2024,Agent,"The agent mentioned the price increase as part of the terms and conditions, stating the new renewal fee amount.","Yes, 769 plus VAT (922.80 all in)",No,Yes,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,132,03_09_2024,No,No,No,No,COMP_NO,No
83,565596472741,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,3168.0,2024-10-31,Won,Renewed,2024-10-30,2024-10-01,BACS,26.5,Accredited,Anchored,1,1.0,6.0,4+,Band G,2024-11-01 00:00:00.000,2.0,Within 13 Days After Renewal,Paid Late,2409.0,2409.0,1.0,1.0,process,133,31_10_2024,No,No,No,No,COMP_NO,No
84,565596491308,31_10_2024,Agent,The price increase was introduced as a new renewal fee amount.,"Yes, £418.80",No,No,Not Discussed,No,Neutral,Renewed,Yes,Not Discussed,Not Applicable,Not Applicable,3171.0,2024-10-31,Won,Renewed,2024-10-11,2024-10-01,CARD,24.5,Accredited,Anchored,1,1.0,1.0,1,Band A,2024-10-31 08:56:03.100,20.0,Within 1 Month After Renewal,Paid Late,349.0,459.0,1.0,1.0,process,134,31_10_2024,No,No,No,No,COMP_NO,No
85,565596493473,31_10_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,135,31_10_2024,No,No,No,No,COMP_NO,No
